name,category,website,phone,address,maps_url,source,engine,search_query,scraped_at
KABWORLD Physiotherapy &amp; Co,doctors and clinics,http://www.kabworldphysio.com,2347033309554,"Lagos Island, Mainland and Ikorodu axis , Lagos, Lagos",https://www.businesslist.com.ng/company/257294/kabworld-physiotherapyco-reg,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:19.966613+00:00
Joje Abebe Fertility Centre,doctors and clinics,https://jojefertility.com.ng,+234 817 104 9999,"Plot 0140, Bamanga Tukur Street, Opposite Beautiful Beginning Academy, Zone E Legislative Quarters, Gudu District, Apo , Abuja, Abuja",https://www.businesslist.com.ng/company/263926/joje-abebe-fertility-centre,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:21.111682+00:00
Charitos BO Hospital,doctors and clinics,https://www.charitosbohospital.com,08141911404,"Plot D22, Aco Estate, Life Camp, Abuja, Abuja, Abuja",https://www.businesslist.com.ng/company/262227/charitos-bo-hospital,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:22.599332+00:00
Jumay Eye Care Center,doctors and clinics,,07062221958,"Inside Ezem Hospital, 2 Osuji Street off Cherubim junction, Wetheral road, Owerri, Owerri, Imo",https://www.businesslist.com.ng/company/266210/jumay-eye-care-center,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:24.046813+00:00
Gloxygen Dental Care,doctors and clinics,https://gloxygen-dental-care.business.site,"07035918976 , 08132804107","Plot 148A , First Avenue , Sector F , FHA , Lugbe , Off Airport Road (Opp. Bread abd More , Bsd FHA Mortgage Bank ), Abuja, Abuja",https://www.businesslist.com.ng/company/263176/gloxygen-dental-care,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:26.174320+00:00
Dr Solution Cottage Hospital Ltd,doctors and clinics,https://www.drsolutionhospital.com,+234 803 956 5922,"HQ: Off #58 Mbodo-Aluu Road, Port Harcourt and 12 Rumuosi-Ozuoba Road, PH., Port Harcourt, Rivers",https://www.businesslist.com.ng/company/256985/dr-solution-cottage-hospital,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:28.326914+00:00
Alphine Life Solutions,doctors and clinics,,00912242688484,"701 Trade Center, Ikeja, Lagos",https://www.businesslist.com.ng/company/255925/alphine-life-solutions,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:29.615892+00:00
Rocaprosthetics Ortho Care Enterprises,doctors and clinics,,"08029073564, 07031548820","20 owulade Avenue Irawo bus stop Owode Ajegunle off ikorodu road, Lagos, Lagos",https://www.businesslist.com.ng/company/260933/rocaprosthetics-ortho-care-enterprises,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:31.017880+00:00
Oaklands Multispecialty Dental Care Clinic Owerri,doctors and clinics,https://www.facebook.com/OaklandsDentals/,+2347036531860,"Eve and kez Plaza, Owerri, Mcc Road, Ikenegbu , Owerri, Imo",https://www.businesslist.com.ng/company/260164/oaklands-multispecialty-dental-care-clinic-owerri,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:33.071740+00:00
Oam Physiotherapy Services,doctors and clinics,,09042973026,"Adebisi Aje street, Irawo, Ikorodu, Ikorodu, Lagos",https://www.businesslist.com.ng/company/263646/oam-physiotherapy-services,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:34.844492+00:00
